Dataset,Model,Link Pred AUC,Avg Precision,Rule Precision,Rule Recall,Rule Stability
cora,CLE-Net,0.5,0.5,1.0,1.0,0.6134395349354234
cora,DynamicTriad,0.5168967930568309,0.5156498719324291,N/A,N/A,1
cora,VGRNN,0.4968565867003367,0.4961652999477162,N/A,N/A,N/A
